id,period,year,t,corridor,src,dst,firm,firm_type,access_point,speed_band,speed_hours,transparent,network_coverage,pickup_method,payment_instrument,fee_pct_200,fx_margin_200,total_cost_200,fee_pct_500,fx_margin_500,total_cost_500
28948,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,Standard Chartered Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,45.0,4.69,49.69,18.0,4.69,22.69
28956,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,KCB,Bank,Not available,Same day,12.0,yes,Major cities,,,0.0,4.69,4.69,0.0,4.69,4.69
28965,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,UBA Africash,Bank,Not available,Same day,12.0,yes,Major cities,,,3.3499999999999988,4.69,8.04,1.3399999999999999,4.69,6.03
28966,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,5.54,4.69,10.23,4.44,4.69,9.13
28958,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,6.779999999999999,6.25,13.03,4.93,6.25,11.18
28963,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,Tanzania Postal Corporation,Post office,Not available,Less than one hour,0.5,yes,Nationwide,,,8.629999999999999,4.69,13.32,5.919999999999999,4.69,10.61
28953,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,Barclays,Bank,Not available,Next day,24.0,yes,Nationwide,,,17.5,4.69,22.19,6.999999999999999,4.69,11.69
28957,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,,,20.0,4.69,24.69,7.999999999999999,4.69,12.69
28959,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,NBC,Bank,Not available,3-5 days,96.0,yes,Nationwide,,,25.0,4.69,29.69,10.0,4.69,14.69
28954,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,CRDB Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,25.0,6.25,31.25,10.0,6.25,16.25
28960,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,NMB (National Microfinance Bank),Non-Bank FI,Not available,3-5 days,96.0,yes,Nationwide,,,25.0,6.25,31.25,10.0,6.25,16.25
28961,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,Stanbic Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,27.5,6.25,33.75,11.0,6.25,17.25
28955,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,Exim Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,30.0,6.25,36.25,12.0,6.25,18.25
28964,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,Twiga Bancorp,Bank,Not available,Next day,24.0,yes,Nationwide,,,30.0,6.25,36.25,12.0,6.25,18.25
28962,2011_3Q,2011,2011.5,TZAUGA,TZA,UGA,Standard Chartered Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,45.0,4.69,49.69,18.0,4.69,22.69
47,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,United Bank for Africa (UBA),Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,2.89,0.25,3.14,1.16,0.25,1.41
7,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,ABC Bank,Money Transfer Operator,Not available,2 days,48.0,yes,Nationwide,bank account,,8.33,0.17,8.5,3.33,0.17,3.5
51,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,cash,,5.5600000000000005,3.0,8.56,4.45,3.0,7.45
41,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Main city,cash,,6.109999999999999,3.59,9.7,4.890000000000001,3.59,8.48
11,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,Citibank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,8.34,1.83,10.17,3.34,1.83,5.17
21,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,Ecobank,Bank,Not available,Same day,12.0,yes,Major cities,cash,,6.74,3.59,10.33,6.66,3.59,10.25
